知识点,类型,题干,选项A,选项B,选项C,选项D,选项E,选项F,答案（选择填ABCDEF，中间不能有空格 判断填A或B，填空题多空用逗号分隔）,试题解析（选填）,出题人
缺省知识点,1-单选,进程的英文单词表述是,program,thread,process,task,,,C,,朱志广
缺省知识点,1-单选,下列是关于线程的描述，其中说法正确的是,一个进程一定有多个线程,一个线程一定有多个进程,两个进程可以共用同一个线程,线程必须依赖于进程而存在,,,D,,朱志广
缺省知识点,1-单选,下列不属于线程的状态是,就绪状态,运行状态,阻塞状态,稳定态,,,D,,朱志广
缺省知识点,1-单选,关于线程和进程对比说法正确的是,进程是分配资源的基本单位，线程是独立运行和独立调度的基本单位。,线程是分配资源的基本单位，进程是独立运行和独立调度的基本单位。,进程是分配资源的基本单位和独立调度的基本单位，线程是独立运行的基本单位。,进程是分配资源的基本单位和独立运行的基本单位，线程是独立调度的基本单位。,,,C,,朱志广
缺省知识点,1-单选,关于Runnable和Thread说法正确的是,Runnable和Thread都是实现多线程的接口,Runnable和Thread都是实现多线程的抽象类,Runnable是抽象类，而Thread是接口,Runnable和Thread都可以实现多线程,,,D,,朱志广
缺省知识点,1-单选,获取当前线程的方法是,interrupt(),getPriority(),Thread.currentThread(),getId(),,,C,,朱志广
缺省知识点,1-单选,使用Thread创建线程，设置线程的优先级别范围是,1~100,1~50,0~5,1~10,,,D,,朱志广
缺省知识点,1-单选,interrupt和stop都是Thread类中提供终止线程的方法，下列说法正确的是,interrupt比stop更安全,Interrupted不能被捕获异常,interrupt比stop更快速,interrupt在JDK1.8已经被废弃,,,A,,朱志广
缺省知识点,1-单选,关于Thread类中sleep方法说法不正确是,使用的时候必须处理异常,是静态方法,只能让当先前线程进入睡眠状态,参数的单位是秒,,,D,,朱志广
缺省知识点,1-单选,Thread类启动线程的方法是,start,resume,setDeamon,run,,,A,,朱志广
缺省知识点,1-单选,下列线程的方法中，不会改变该线程的生命周期中状态的方法是（    ）,yield(),wait(),sleep(),isAlive(),,,D,,陈红军
缺省知识点,1-单选,在java中允许创建多线程应用程序的接口是（    ）,Runnable,Clonable,Interface,Threadable,,,A,,陈红军
缺省知识点,1-单选,线程调用了sleep（）方法后，该线程将进入（??? ）状态,可运行状态,运行状态,阻塞状态,终止状态,,,C,,陈红军
缺省知识点,1-单选,"一个线程在任何时刻都处于某种线程状态（thread state）,例如运行状态、阻塞状态、就绪状态等。一个线程可以由选项中的哪种线程状态直接到达运行状态？(    )",死亡状态,阻塞状态（对象lock池内）,阻塞状态（对象wait池内）,就绪状态,,,D,,陈红军
缺省知识点,1-单选,Java语言中提供了一个x线程，自动回收动态分配的内存,异步,消费者,守护,垃圾收集,,,D,,陈红军
缺省知识点,1-单选,在线程中的x方法终止时，能使线程进入死亡状态,run,setPrority//更改线程优先级,yield//暂停当前线程的执行 ?执行其他线程,sleep//线程休眠,,,A,,陈红军
缺省知识点,1-单选,在线程中用x方法可以改变线程的优先级,run,setPrority//更改线程优先级,yield//暂停当前线程的执行 ?执行其他线程,sleep//线程休眠,,,B,,陈红军
缺省知识点,1-单选,以下方法中线程通过xx方法可以休眠一段时间，然后恢复运行,run,setPrority//更改线程优先级,yield//暂停当前线程的执行 ?执行其他线程,sleep//线程休眠,,,D,,陈红军
缺省知识点,1-单选,以下xx方法可以用来暂时停止当前线程的运行,stop,yield,wait,sleep//线程休眠,,,A,,陈红军
缺省知识点,1-单选,"下代码创建一个新线程并启动线程，问:可以保证正确代码创建target对象，并能编译正确的是（    ）
public static void main(String[] args) {

          Runnable target=new MyRunnable( ); 

          Thread myThread=new Thread(target);

}","public class MyRunnable extends Runnable {

         public void run( ) {        }

}","public class MyRunnable extends Runnable {

         void run( ) {  }

}","public class MyRunnable  implements Runnable  {

         public void run( ) {        }

}","public class MyRunnable  implements Runnable  {

         void run( ) { } }",,,C,,陈红军
缺省知识点,2-多选,以下是关于进程的说法，其中正确的有,进程是操作系统分配资源的基本单位,进程中一定有多个线程,进程有自己独立的地址空间,一个可执行的程序就是运行起来就是一个进程,,,ACD,,朱志广
缺省知识点,2-多选,线程相对于进程的优点有,线程的划分尺度小于进程，使得多线程程序的并发性高,进程在执行过程中拥有独立的内存单元，而多个线程共享内存，从而极大地提高了程序的运行效率。,使程序健壮，不会因为一个线程死掉就使得整个进程死掉,线程执行开销小，但不利于资源的管理和保护,,,ABC,,朱志广
缺省知识点,2-多选,进程的状态有,就绪,运行,阻塞,环绕,,,ABC,,朱志广
缺省知识点,2-多选,Trhead类中关于interrupt（）和interrupted()说法正确的是,interrupt方法用于中断线程。,interrupt是用来设置中断状态的,interrupted是静态方法,interrupted作用于当前线程，返回的是当前线程的中断状态,,,ABCD,,朱志广
缺省知识点,2-多选,下列关于Runnable说法正确是,是一个函数式接口,实现多线程必须要实现该接口,它是JDK1.8之后才有的,使用的时候必须实现run函数,,,AD,,朱志广
缺省知识点,2-多选,以下可以导致线程不能运行的有,等待,阻塞,休眠,挂起及由于I/O操作而阻塞,,,ABC,,陈红军
缺省知识点,2-多选,以下属于线程的状态也就是它的生命周期的有,新建状态,运行状态,死亡状态,阻塞状态,,,ABCD,,陈红军
缺省知识点,2-多选,以下能够使线程转化为阻塞状态的方法有,sleep(),wait(),interrupt (),join(),,,ABCD,,陈红军
缺省知识点,2-多选,在Java多线程开发中，关于线程的优先级说法中，正确的是,线程的优先级是不能改变的,线程的优先级是在创建线程时设置的,在创建线程后的任何时候都可以重新设置,线程的优先级的范围在1-10之间,,,BD,,陈红军
缺省知识点,2-多选,以下选项中关于Java中线程控制方法的说法正确的是,join ( ) 的作用是阻塞指定线程等到另一个线程完成以后再继续执行,sleep ( ) 的作用是让当前正在执行线程暂停，线程将转入就绪状态,yield ( ) 的作用是使线程停止运行一段时间，将处于阻塞状态,setDaemon( )的作用是将指定的线程设置成后台线程,,,AD,,陈红军
缺省知识点,0-判断,进程既是基本的分配单元，也是基本的执行单元,,,,,,,B,,朱志广
缺省知识点,0-判断,使用多线程需要考虑线程同步的问题,,,,,,,A,,朱志广
缺省知识点,0-判断,线程调度方式主要是协同式线程调度和抢占式调度,,,,,,,A,,朱志广
缺省知识点,0-判断,wait 是 Thread类中直接定义的方法,,,,,,,B,,朱志广
缺省知识点,0-判断,使用Thread类定义的对象可以调用其wait方法,,,,,,,A,这是个陷阱题,朱志广
缺省知识点,0-判断,如果线程死亡，它便不能运行,,,,,,,A,,陈红军
缺省知识点,0-判断,在多线程处理中，高优先级的可运行线程会抢占低优先级线程,,,,,,,A,,陈红军
缺省知识点,0-判断,在Java的多线程编程中没有安全问题,,,,,,,B,,陈红军
缺省知识点,0-判断,线程A中执行线程B的join()方法，则线程A等待直到B执行完成,,,,,,,A,,陈红军
缺省知识点,0-判断,currentThread()方法返回当前线程的引用,,,,,,,A,,陈红军
